Currency,concatenate,ex rate to use 2019
EUR,EUR2019,1
AED,AED2019,0.24222
AOA,AOA2019,0.002626
ARS,ARS2019,0.017691
AUD,AUD2019,0.617868
BGN,BGN2019,0.511294
BRL,BRL2019,0.224699
CAD,CAD2019,0.669575
CHF,CHF2019,0.900866
CLP,CLP2019,0.001283
CNY,CNY2019,0.128171
CZK,CZK2019,0.038824
DKK,DKK2019,0.134032
DZD,DZD2019,0.007478
EGP,EGP2019,0.05267
GBP,GBP2019,1.121764
HKD,HKD2019,0.113487
HRK,HRK2019,0.134973
HUF,HUF2019,0.003083
IDR,IDR2019,0.000062
ILS,ILS2019,0.249486
INR,INR2019,0.012561
JPY,JPY2019,0.008234
KES,KES2019,0.008731
KWD,KWD2019,2.927835
KZT,KZT2019,0.002311
LBP,LBP2019,0
LKR,LKR2019,0.005006
LTL,LTL2019,0
MAD,MAD2019,0.092754
MNT,MNT2019,0.000337
MXN,MXN2019,0.045566
MYR,MYR2019,0.214165
NGN,NGN2019,0.002685
NOK,NOK2019,0.101624
NZD,NZD2019,0.586308
OMR,OMR2019,2.310507
PEN,PEN2019,0.266053
PHP,PHP2019,0.017036
PKR,PKR2019,0.005921
PLN,PLN2019,0.231428
QAR,QAR2019,0.243841
RON,RON2019,0.210692
RSD,RSD2019,0.008474
RUB,RUB2019,0.01356
SAR,SAR2019,0.237225
SEK,SEK2019,0.094215
SGD,SGD2019,0.649385
THB,THB2019,0.028579
TND,TND2019,0.302737
TRL,TRL2019,0.15467
TWD,TWD2019,0.028602
UAH,UAH2019,0.034191
UGX,UGX2019,0.000239
USD,USD2019,0.889802
UZS,UZS2019,0.000102
VEB,VEB2019,0
ZAR,ZAR2019,0.06071
XOF,XOF2019,0.001524
XAF,XAF2019,0.001526
BGN,BGN2019,0.511293759
COP,COP2019,0.000270318
IDR,IDR2019,0.000062349
IRR,IRR2019,0.000031614
KRW,KRW2019,0.000757033
ROL,ROL2019,0.000021069
CDF,CDF2019,0.000793
VND,VND2019,0.000038379
VEB,VEB2019,0
BYN,BYN2019,0.427655
VES,VES2019,0.0001
AED,AED202001,0.24717
AOA,AOA202001,0.001841
ARS,ARS202001,0.015096
AUD,AUD202001,0.613836
BGN,BGN202001,0.5113
BRL,BRL202001,0.215206
CAD,CAD202001,0.687805
CHF,CHF202001,0.935541
CLP,CLP202001,0.00115
CNY,CNY202001,0.130758
CZK,CZK202001,0.039634
DKK,DKK202001,0.133819
DZD,DZD202001,0.007565
EGP,EGP202001,0.057486
GBP,GBP202001,1.185424
HKD,HKD202001,0.116625
HRK,HRK202001,0.134382
HUF,HUF202001,0.002963
IDR,IDR202001,0.000067
ILS,ILS202001,0.262116
INR,INR202001,0.0127
JPY,JPY202001,0.008326
KES,KES202001,0.009
KWD,KWD202001,2.989537
KZT,KZT202001,0.002384
LBP,LBP202001,0.000596
LKR,LKR202001,0.005001
LTL,LTL202001,0.28962
MAD,MAD202001,0.094118
MNT,MNT202001,0.00033
MXN,MXN202001,0.047912
MYR,MYR202001,0.223105
NGN,NGN202001,0.002506
NOK,NOK202001,0.099638
NZD,NZD202001,0.594742
OMR,OMR202001,2.357934
PEN,PEN202001,0.271916
PHP,PHP202001,0.01783
PKR,PKR202001,0.005871
PLN,PLN202001,0.23411
QAR,QAR202001,0.247758
RON,RON202001,0.20917
RSD,RSD202001,0.008513
RUB,RUB202001,0.014483
SAR,SAR202001,0.242025
SEK,SEK202001,0.094522
SGD,SGD202001,0.668226
THB,THB202001,0.029526
TND,TND202001,0.320297
TRL,TRL202001,0.152518
TWD,TWD202001,0.030106
UAH,UAH202001,0.036947
UGX,UGX202001,0.000247
USD,USD202001,0.907029
UZS,UZS202001,0.000095
VEB,VEB202001,0
ZAR,ZAR202001,0.062332
XOF,XOF202001,0.001525
XAF,XAF202001,0.001524
BGN,BGN202001,0.5113
COP,COP202001,0.000269687
IDR,IDR202001,0.000067
IRR,IRR202001,0.000020979
KRW,KRW202001,0.000770214
ROL,ROL202001,0.000020917
CDF,CDF202001,0.00079283
VND,VND202001,0.000038947
VEB,VEB202001,0
BYN,BYN202001,0.428449
VES,VES202001,0.000012
AED,AED202002,0.24717
AOA,AOA202002,0.001841
ARS,ARS202002,0.015096
AUD,AUD202002,0.613836
BGN,BGN202002,0.5113
BRL,BRL202002,0.215206
CAD,CAD202002,0.687805
CHF,CHF202002,0.935541
CLP,CLP202002,0.00115
CNY,CNY202002,0.130758
CZK,CZK202002,0.039634
DKK,DKK202002,0.133819
DZD,DZD202002,0.007565
EGP,EGP202002,0.057486
GBP,GBP202002,1.185424
HKD,HKD202002,0.116625
HRK,HRK202002,0.134382
HUF,HUF202002,0.002963
IDR,IDR202002,0.000067
ILS,ILS202002,0.262116
INR,INR202002,0.0127
JPY,JPY202002,0.008326
KES,KES202002,0.009
KWD,KWD202002,2.989537
KZT,KZT202002,0.002384
LBP,LBP202002,0.000596
LKR,LKR202002,0.005001
LTL,LTL202002,0.28962
MAD,MAD202002,0.094118
MNT,MNT202002,0.00033
MXN,MXN202002,0.047912
MYR,MYR202002,0.223105
NGN,NGN202002,0.002506
NOK,NOK202002,0.099638
NZD,NZD202002,0.594742
OMR,OMR202002,2.357934
PEN,PEN202002,0.271916
PHP,PHP202002,0.01783
PKR,PKR202002,0.005871
PLN,PLN202002,0.23411
QAR,QAR202002,0.247758
RON,RON202002,0.20917
RSD,RSD202002,0.008513
RUB,RUB202002,0.014483
SAR,SAR202002,0.242025
SEK,SEK202002,0.094522
SGD,SGD202002,0.668226
THB,THB202002,0.029526
TND,TND202002,0.320297
TRL,TRL202002,0.152518
TWD,TWD202002,0.030106
UAH,UAH202002,0.036947
UGX,UGX202002,0.000247
USD,USD202002,0.907029
UZS,UZS202002,0.000095
VEB,VEB202002,0
ZAR,ZAR202002,0.062332
XOF,XOF202002,0.001525
XAF,XAF202002,0.001524
BGN,BGN202002,0.5113
COP,COP202002,0.000269687
IDR,IDR202002,0.000067
IRR,IRR202002,0.000020979
KRW,KRW202002,0.000770214
ROL,ROL202002,0.000020917
CDF,CDF202002,0.00079283
VND,VND202002,0.000038947
VEB,VEB202002,0
BYN,BYN202002,0.428449
VES,VES202002,0.000012
